name
ROLE_ADMIN
ROLE_USER
STRUCTURE_ADMIN
STRUCTURE_CAISSE
SERVEUR
AGENCE_ADMIN
AGENCE_CAISSE
MAGASIN_ADMIN
MAGASIN_CAISSE

